Age,lx,dx,qx,m.e.qx,px,Lx,Tx,ex,m.e.ex
97 years,"5,115","1,475",0.28844,0.01967,0.71156,"4,377","13,017",2.6,0.1
98 years,"3,639","1,132",0.31096,0.02701,0.68904,"3,073","8,640",2.4,0.1
99 years,"2,508",837,0.33369,0.03581,0.66631,"2,089","5,566",2.2,0.2
100 years,"1,671",596,0.35642,0.0464,0.64358,"1,373","3,477",2.1,0.2
101 years,"1,075",407,0.37894,0.05947,0.62106,872,"2,104",2,0.2
102 years,668,268,0.40103,0.07464,0.59897,534,"1,232",1.9,0.3
103 years,400,169,0.42253,0.10926,0.57747,316,698,1.8,0.3
104 years,231,102,0.44325,0.12251,0.55675,180,383,1.7,0.4
105 years,129,60,0.46307,0.16626,0.53693,99,203,1.6,0.5
106 years,69,33,0.48185,0.25695,0.51815,52,104,1.5,0.6
107 years,36,18,0.49953,0.30976,0.50047,27,52,1.5,0.8
108 years,18,9,0.51605,0.48712,0.48395,13,25,1.4,1
109 years,9,5,0.53138,0.48389,0.46862,6,12,1.4,0.9
110 years and over,4,4,1,0,0,5,5,1.3,…
... not applicable.,,,,,,,,,
"Source: Statistics Canada. 2017. Life tables, Canada, provinces and territories, catalogue no. 84-537-X.",,,,,,,,,
