Age,lx,dx,qx,m.e.qx,px,Lx,Tx,ex,m.e.ex
98 years,"8,589","2,273",0.26463,0.01195,0.73537,"7,453","23,430",2.7,0.1
99 years,"6,316","1,820",0.28814,0.01468,0.71186,"5,406","15,977",2.5,0.1
100 years,"4,496","1,403",0.31212,0.01793,0.68788,"3,794","10,571",2.4,0.1
101 years,"3,093","1,040",0.33632,0.02292,0.66368,"2,573","6,777",2.2,0.1
102 years,"2,053",740,0.36048,0.03015,0.63952,"1,683","4,204",2.1,0.1
103 years,"1,313",505,0.38437,0.03942,0.61563,"1,060","2,521",1.9,0.1
104 years,808,329,0.40773,0.0513,0.59227,643,"1,461",1.8,0.2
105 years,479,206,0.43034,0.07167,0.56966,376,817,1.7,0.2
106 years,273,123,0.45202,0.09575,0.54798,211,442,1.6,0.3
107 years,149,71,0.4726,0.12838,0.5274,114,231,1.5,0.3
108 years,79,39,0.49198,0.17375,0.50802,59,117,1.5,0.4
109 years,40,20,0.51006,0.18702,0.48994,30,57,1.4,0.4
110 years,20,20,1,0,0,27,27,1.4,É
